SPECIES_NAME,STAGE_ID,COMMON_NAME,SPECIES_CODE_ICHBASE
Agonidae,6,Poachers,210
Agonopsis vulsa,6,Northern Spearnose Poacher,314
Albatrossia pectoralis,6,Giant Grenadier,634
Ammodytes personatus,6,Pacific Sand Lance,632
Anarhichas orientalis,6,Bering Wolffish,265
Anarrhichthys ocellatus,6,Wolf-Eel,362
Anisarchus medius,6,Stout Eelblenny,520
Anoplagonus inermis,6,Smooth Alligatorfish,389
Anoplarchus insignis,6,Slender Cockscomb,223
Anoplarchus purpurescens,6,High Cockscomb,461
Anoplarchus spp.,6,,319
Anoplopoma fimbria,6,Sablefish,183
Aptocyclus ventricosus,6,Smooth Lumpsucker,214
Artedius fenestralis,6,Padded Sculpin,187
Artedius harringtoni,6,Scalyhead Sculpin,186
Artedius lateralis,6,Smoothhead Sculpin,394
Artedius spp.,6,,185
Aspidophoroides monopterygius,6,Alligatorfish,375
Atheresthes spp.,6,,250
Atheresthes stomias,6,Arrowtooth Flounder,236
Bathyagonus alascanus,6,Gray Starsnout,390
Bathyagonus infraspinatus,6,Spinycheek Starsnout,391
Bathyagonus nigripinnis,6,Blackfin Poacher,392
Bathyagonus pentacanthus,6,Bigeye Poacher,393
Bathyagonus spp.,6,,377
Bathylagidae,6,Deepsea Smelts,150
Bathylagus pacificus,6,Pacific Blacksmelt,153
Bathylagus spp.,6,,151
Bathymaster signatus,6,Searcher,361
Bathymaster spp.,6,,219
Bathymasteridae,6,Ronquils,218
Blepsias bilobus,6,Crested Sculpin,254
Blepsias cirrhosus,6,Silverspotted Sculpin,482
Bothragonus swanii,6,Rockhead,328
Brosmophycis marginata,6,Red Brotula,313
Bryozoichthys lysimus,6,Nutcracker Prickleback,396
Bryozoichthys marjorius,6,Pearly Prickleback,397
Bryozoichthys spp.,6,,444
Careproctus spp.,6,,381
Chauliodus macouni,6,Pacific Viperfish,156
Chirolophis decoratus,6,Decorated Warbonnet,224
Chirolophis nugator,6,Mosshead Warbonnet,268
Chirolophis spp.,6,,266
Chitonotus pugetensis,6,Roughback Sculpin,329
Citharichthys sordidus,6,Pacific Sanddab,279
Citharichthys spp.,6,Sanddabs,263
Citharichthys stigmaeus,6,Speckled Sanddab,234
Clinocottus acuticeps,6,Sharpnose Sculpin,398
Clinocottus embryum,6,Calico Sculpin,395
Clinocottus spp.,6,,188
Clupea pallasii,6,Pacific Herring,147
Clupeidae,6,,594
Cololabis saira,6,Pacific Saury,287
Coryphaenoides acrolepis,6,Pacific Grenadier,619
Coryphaenoides spp.,6,,523
Cottidae,6,Sculpins,184
Cryptacanthodes aleutensis,6,Dwarf Wrymouth,229
Cryptacanthodes giganteus,6,Giant Wrymouth,267
Cyclopteridae,6,Lumpfishes,213
Cyclothone spp.,6,Bristlemouths,292
Dasycottus setiger,6,Spinyhead Sculpin,189
Diaphus theta,6,California Headlightfish,158
Disintegrated,6,,145
Eleginus gracilis,6,Saffron Cod,529
Embassichthys bathybius,6,Deepsea Sole,262
Enophrys bison,6,Buffalo Sculpin,355
Enophrys spp.,6,,506
Eopsetta jordani,6,Petrale Sole,286
Eumicrotremus orbis,6,Pacific Spiny Lumpsucker,215
Gadidae,6,Cods,165
Gadus chalcogrammus,6,Walleye Pollock,168
Gadus macrocephalus,6,Pacific Cod,166
Gasterosteus aculeatus,6,Threespine Stickleback,170
Glyptocephalus zachirus,6,Rex Sole,237
Gymnocanthus A,6,,191
Gymnocanthus galeatus,6,Armorhead Sculpin,519
Gymnocanthus spp.,6,,190
Hemilepidotus hemilepidotus,6,Red Irish Lord,194
Hemilepidotus jordani,6,Yellow Irish Lord,195
Hemilepidotus spinosus,6,Brown Irish Lord,281
Hemilepidotus spp.,6,,193
Hemitripterus bolini,6,Bigmouth Sculpin,383
Hexagrammidae,6,Greenlings,172
Hexagrammos decagrammus,6,Kelp Greenling,177
Hexagrammos lagocephalus,6,Rock Greenling,178
Hexagrammos octogrammus,6,Masked Greenling,179
Hexagrammos spp.,6,,173
Hexagrammos stelleri,6,Whitespotted Greenling,180
Hippoglossoides elassodon,6,Flathead Sole,238
Hippoglossoides spp.,6,,378
Hippoglossus stenolepis,6,Pacific Halibut,248
Hypsagonus mozinoi,6,Kelp Poacher,386
Hypsagonus quadricornis,6,Fourhorn Poacher,376
Icelinus borealis,6,Northern Sculpin,198
Icelinus spp.,6,,257
Icelinus spp.-Icelus spp.,6,,516
Icelus spp.,6,,253
Icosteus aenigmaticus,6,Ragfish,283
Isopsetta isolepis,6,Butter Sole,239
Lampadena spp.,6,,566
Lampadena urophaos,6,Sunbeam Lampfish,429
Lampanyctus spp.,6,,277
Lepidopsetta bilineata,6,Southern Rock Sole,501
Lepidopsetta polyxystra,6,Northern Rock Sole,502
Lepidopsetta spp.,6,Rock Sole Spp.,518
Leptagonus spp.,6,,513
Leptoclinus maculatus,6,Daubed Shanny,227
Leptocottus armatus,6,Pacific Staghorn Sculpin,199
Lestidiops ringens,6,Slender Barracudina,288
Leuroglossus schmidti,6,Northern Smoothtongue,154
Limanda aspera,6,Yellowfin Sole,241
Limanda proboscidea,6,Longhead Dab,597
Limanda spp.,6,,517
Liparidae,6,Snailfishes,484
Liparis callyodon,6,Spotted Snailfish,514
Liparis dennyi,6,Marbled Snailfish,496
Liparis fabricii,6,Gelatinous Seasnail,532
Liparis florae,6,Tidepool Snailfish,216
Liparis fucensis,6,Slipskin Snailfish,511
Liparis gibbus,6,Variegated Snailfish,521
Liparis greeni,6,Lobefin Snailfish,510
Liparis mucosus,6,Slimy Snailfish,522
Liparis pulchellus,6,Showy Snailfish,368
Liparis rutteri,6,Ringtail Snailfish,606
Liparis spp.,6,,380
Liparis tunicatus,6,Kelp Snailfish,533
Lipolagus ochotensis,6,Popeye Blacksmelt,271
Lumpenella longirostris,6,Longsnout Prickleback,225
Lumpenus fabricii,6,Slender Eelblenny,534
Lumpenus sagitta,6,Snake Prickleback,226
Lumpenus spp.,6,,352
Lycodapus mandibularis,6,Pallid Eelpout,598
Lycodes brevipes,6,Shortfin Eelpout,442
Lyopsetta exilis,6,Slender Sole,242
Macropinna microstoma,6,Barreleye,155
Macrouridae,6,Grenadiers,169
Malacocottus spp.,6,,494
Malacocottus zonurus,6,Darkfin Sculpin,200
Malacocottus zonurus 1,6,,201
Malacocottus zonurus 2,6,,315
Mallotus villosus,6,Capelin,149
Melamphaes spp.,6,,310
Melamphaidae,6,Bigscales,272
Microgadus proximus,6,Pacific Tomcod,167
Microstomus pacificus,6,Dover Sole,243
Myctophidae,6,Lanternfishes,157
Myctophidae B,6,,335
Myoxocephalus B,6,,203
Myoxocephalus G,6,,204
Myoxocephalus polyacanthocephalus,6,Great Sculpin,388
Myoxocephalus scorpius,6,Shorthorn (Warty) Sculpin,609
Myoxocephalus spp.,6,,202
Nannobrachium regale,6,Pinpoint Lampfish,305
Nannobrachium ritteri,6,Broadfin Lampfish,275
Nannobrachium spp.,6,,626
Nansenia candida,6,Bluethroat Argentine,276
Nautichthys oculofasciatus,6,Sailfin Sculpin,320
Nautichthys pribilovius,6,Eyeshade Sculpin,360
Nautichthys robustus,6,Shortmast Sculpin,385
Nautichthys spp.,6,,363
Nectoliparis pelagicus,6,Tadpole Snailfish,256
Odontopyxis trispinosa,6,Pygmy Poacher,387
Oligocottus maculosus,6,Tidepool Sculpin,481
Oncorhynchus keta,6,Chum Salmon,353
Ophidiidae,6,Cusk-Eels,334
Ophiodon elongatus,6,Lingcod,181
Osmeridae,6,Smelts,148
Pallasina barbata,6,Tubenose Poacher,373
Paraliparis holomelas,6,Ebony Snailfish,495
Paraliparis spp.,6,,349
Paricelinus hopliticus,6,Thornback Sculpin,327
Parophrys vetulus,6,English Sole,244
Peprilus simillimus,6,Pacific Pompano,330
Pholidae,6,Gunnels,258
Pholis laeta,6,Crescent Gunnel,231
Pholis spp.,6,,230
Platichthys stellatus,6,Starry Flounder,245
Pleurogrammus monopterygius,6,Atka Mackerel,182
Pleuronectes quadrituberculatus,6,Alaska Plaice,246
Pleuronectidae,6,Righteye Flounders,235
Pleuronichthys decurrens,6,Curlfin Sole,299
Podothecus acipenserinus,6,Sturgeon Poacher,212
Poroclinus rothrocki,6,Whitebarred Prickleback,255
Protomyctophum crockeri,6,California Flashlightfish,163
Protomyctophum thompsoni,6,Northern Flashlightfish,164
Psettichthys melanostictus,6,Sand Sole,247
Pseudobathylagus milleri,6,Robust Blacksmelt,152
Psychrolutes paradoxus,6,Tadpole Sculpin,351
Psychrolutes phrictus,6,Blob Sculpin,515
Psychrolutes sigalutes,6,Soft Sculpin,350
Psychrolutes spp.,6,,493
Ptilichthys goodei,6,Quillfish,221
Radulinus asprellus,6,Slim Sculpin,206
Radulinus boleoides,6,Darter Sculpin,333
Radulinus spp.,6,,205
Reinhardtius hippoglossoides,6,Greenland Halibut,251
Rhamphocottus richardsonii,6,Grunt Sculpin,207
Rhinogobiops nicholsii,6,Blackeye Goby,478
Rhinoliparis barbulifer,6,Longnose Snailfish,379
Ronquilus jordani,6,Northern Ronquil,220
Ruscarius meanyi,6,Puget Sound Sculpin,306
Sample Lost,6,Sample Lost,2
Sardinops sagax,6,Pacific Sardine,446
Sarritor frenatus,6,Sawback Poacher,399
Sarritor leptorhynchus,6,Longnose Poacher,492
Scorpaenichthys marmoratus,6,Cabezon,273
Scorpaenidae,6,Scorpionfishes,270
Sebastes alutus,6,Pacific Ocean Perch,593
Sebastes babcocki,6,Redbanded Rockfish,640
Sebastes spp.,6,Rockfishes,171
Sebastolobus alascanus,6,Shortspine Thornyhead,460
Sebastolobus altivelis,6,Longspine Thornyhead,607
Sebastolobus spp.,6,Thornyheads,282
Stenobrachius leucopsarus,6,Northern Lampfish,160
Stenobrachius spp.,6,,159
Sternoptychidae,6,Hatchetfishes,411
Stichaeidae,6,Pricklebacks,222
Stichaeus punctatus,6,Arctic Shanny,228
Tarletonbeania crenularis,6,Blue Lanternfish,162
Tarletonbeania spp.,6,,585
Thaleichthys pacificus,6,Eulachon,301
Trachipteridae,6,Ribbonfishes,324
Trichodon trichodon,6,Pacific Sandfish,217
Triglops forficatus,6,Scissortail Sculpin,491
Triglops macellus,6,Roughspine Sculpin,337
Triglops pingelii,6,Ribbed Sculpin,209
Triglops scepticus,6,Spectacled Sculpin,507
Triglops spp.,6,,208
Unidentified,6,,139
Xeneretmus latifrons,6,Blacktip Poacher,370
Xiphister atropurpureus,6,Black Prickleback,490
Xiphister spp.,6,,488
Zaprora silenus,6,Prowfish,232
Zesticelus profundorum,6,Flabby Sculpin,602
Zoarcidae,6,Eelpouts,252
